,citing_author,paper_citing_id,cited_author,paper_cited_id,time
0,0,0,15,15,0
1,1,1,15,15,0
2,2,2,15,15,0
3,3,3,17,17,0
4,4,4,8,8,0
5,5,5,6,6,0
6,6,6,0,0,0
7,7,7,18,18,0
8,8,8,13,13,0
9,9,9,8,8,0
10,10,10,14,14,0
11,11,11,13,13,0
12,12,12,19,19,0
13,13,13,15,15,0
14,14,14,17,17,0
15,15,15,16,16,0
16,16,16,4,4,0
17,17,17,9,9,0
18,18,18,7,7,0
19,19,19,3,3,0
20,0,20,15,15,1
21,0,20,12,12,1
22,0,20,9,9,1
23,1,21,10,10,1
24,1,21,13,13,1
25,1,21,2,2,1
26,2,22,3,3,1
27,2,22,8,8,1
28,3,23,16,16,1
29,4,24,15,15,1
30,4,24,18,18,1
31,4,24,13,13,1
32,5,25,8,8,1
33,6,26,15,15,1
34,6,26,16,16,1
35,6,26,5,5,1
36,7,27,9,9,1
37,8,28,13,13,1
38,8,28,8,8,1
39,9,29,3,3,1
40,9,29,18,18,1
41,9,29,4,4,1
42,10,30,0,0,1
43,10,30,18,18,1
44,10,30,7,7,1
45,11,31,16,16,1
46,11,31,14,14,1
47,12,32,15,15,1
48,12,32,9,9,1
49,13,33,13,13,1
50,13,33,16,16,1
51,14,34,13,13,1
52,14,34,9,9,1
53,15,35,8,8,1
54,15,35,18,18,1
55,15,35,15,15,1
56,16,36,13,13,1
57,17,37,5,5,1
58,17,37,2,2,1
59,17,37,7,7,1
60,18,38,9,9,1
61,19,39,10,10,1
62,0,40,10,10,2
63,1,41,2,2,2
64,1,41,17,17,2
65,2,42,15,15,2
66,2,42,10,10,2
67,2,42,2,2,2
68,3,43,14,14,2
69,4,44,3,3,2
70,5,45,0,20,2
71,5,45,13,13,2
72,5,45,7,27,2
73,6,46,8,8,2
74,6,46,0,0,2
75,7,47,7,7,2
76,8,48,7,7,2
77,8,48,16,16,2
78,9,49,1,21,2
79,9,49,12,12,2
80,9,49,11,11,2
81,10,50,15,15,2
82,10,50,19,39,2
83,10,50,5,5,2
84,11,51,9,9,2
85,11,51,15,15,2
86,11,51,3,3,2
87,12,52,0,0,2
88,12,52,12,32,2
89,12,52,9,29,2
90,13,53,8,8,2
91,13,53,16,16,2
92,14,54,5,5,2
93,14,54,6,6,2
94,14,54,15,15,2
95,15,55,5,25,2
96,15,55,5,5,2
97,15,55,15,15,2
98,16,56,18,18,2
99,16,56,13,13,2
100,17,57,12,12,2
101,17,57,1,21,2
102,17,57,9,29,2
103,18,58,8,8,2
104,19,59,9,9,2
105,19,59,14,14,2
106,19,59,6,6,2
107,0,60,3,3,3
108,0,60,15,15,3
109,0,60,9,9,3
110,1,61,8,8,3
111,1,61,18,58,3
112,1,61,15,15,3
113,2,62,19,39,3
114,2,62,16,16,3
115,2,62,16,36,3
116,3,63,9,9,3
117,3,63,18,18,3
118,3,63,12,12,3
119,4,64,15,15,3
120,4,64,18,38,3
121,4,64,18,18,3
122,5,65,14,14,3
123,5,65,16,16,3
124,6,66,7,7,3
125,6,66,16,16,3
126,7,67,0,0,3
127,8,68,15,15,3
128,8,68,5,5,3
129,8,68,3,3,3
130,9,69,12,12,3
131,9,69,15,15,3
132,9,69,11,31,3
133,10,70,12,32,3
134,10,70,14,14,3
135,10,70,2,2,3
136,11,71,16,16,3
137,11,71,0,0,3
138,11,71,13,53,3
139,12,72,5,45,3
140,13,73,13,53,3
141,13,73,14,14,3
142,13,73,0,0,3
143,14,74,18,58,3
144,15,75,16,36,3
145,15,75,14,14,3
146,15,75,16,16,3
147,16,76,14,14,3
148,16,76,15,15,3
149,17,77,6,6,3
150,17,77,13,13,3
151,18,78,12,12,3
152,19,79,7,7,3
153,19,79,1,21,3
154,19,79,10,50,3
155,0,80,8,8,4
156,0,80,10,10,4
157,0,80,6,6,4
158,1,81,8,8,4
159,1,81,16,16,4
160,2,82,19,19,4
161,2,82,7,7,4
162,2,82,17,77,4
163,3,83,17,17,4
164,3,83,16,16,4
165,4,84,15,15,4
166,5,85,13,13,4
167,5,85,16,36,4
168,5,85,11,31,4
169,6,86,15,35,4
170,7,87,18,58,4
171,7,87,9,9,4
172,8,88,0,0,4
173,9,89,14,34,4
174,10,90,3,3,4
175,11,91,16,56,4
176,12,92,16,36,4
177,12,92,15,15,4
178,12,92,8,8,4
179,13,93,11,11,4
180,13,93,17,77,4
181,13,93,12,12,4
182,14,94,2,2,4
183,14,94,15,15,4
184,15,95,3,3,4
185,16,96,13,53,4
186,16,96,14,14,4
187,16,96,17,17,4
188,17,97,18,38,4
189,17,97,6,6,4
190,18,98,0,20,4
191,18,98,16,16,4
192,18,98,7,7,4
193,19,99,16,16,4
194,0,100,17,97,5
195,0,100,18,18,5
196,1,101,10,10,5
197,2,102,0,0,5
198,2,102,12,12,5
199,3,103,18,38,5
200,3,103,8,68,5
201,4,104,18,18,5
202,5,105,0,20,5
203,6,106,15,15,5
204,7,107,16,16,5
205,8,108,16,56,5
206,9,109,12,12,5
207,9,109,4,4,5
208,10,110,1,41,5
209,10,110,16,36,5
210,11,111,16,16,5
211,11,111,17,77,5
212,12,112,9,9,5
213,12,112,14,14,5
214,13,113,13,13,5
215,13,113,0,20,5
216,14,114,9,89,5
217,15,115,9,49,5
218,16,116,9,9,5
219,16,116,2,2,5
220,17,117,14,14,5
221,17,117,10,10,5
222,17,117,8,8,5
223,18,118,11,51,5
224,19,119,18,78,5
225,19,119,18,18,5
226,19,119,2,2,5
227,0,120,19,59,6
228,1,121,18,18,6
229,2,122,12,32,6
230,2,122,6,86,6
231,2,122,15,115,6
232,3,123,4,4,6
233,4,124,5,25,6
234,4,124,6,46,6
235,5,125,15,15,6
236,5,125,2,82,6
237,5,125,0,20,6
238,6,126,7,7,6
239,7,127,10,10,6
240,8,128,17,77,6
241,8,128,14,14,6
242,9,129,16,16,6
243,9,129,18,18,6
244,9,129,10,30,6
245,10,130,14,34,6
246,11,131,0,0,6
247,11,131,15,15,6
248,12,132,8,8,6
249,12,132,5,45,6
250,12,132,9,69,6
251,13,133,18,18,6
252,13,133,9,9,6
253,13,133,17,17,6
254,14,134,8,8,6
255,14,134,3,3,6
256,14,134,13,113,6
257,15,135,16,16,6
258,16,136,13,13,6
259,17,137,0,0,6
260,18,138,15,15,6
261,18,138,5,65,6
262,18,138,18,38,6
263,19,139,18,98,6
264,19,139,3,3,6
265,0,140,5,5,7
266,1,141,14,14,7
267,2,142,16,16,7
268,2,142,15,15,7
269,2,142,16,76,7
270,3,143,7,27,7
271,3,143,13,13,7
272,3,143,8,8,7
273,4,144,10,10,7
274,5,145,10,10,7
275,5,145,1,61,7
276,5,145,8,8,7
277,6,146,15,15,7
278,6,146,8,8,7
279,7,147,18,18,7
280,7,147,9,9,7
281,8,148,13,13,7
282,8,148,8,8,7
283,9,149,18,18,7
284,9,149,9,9,7
285,9,149,12,32,7
286,10,150,19,19,7
287,10,150,1,61,7
288,11,151,9,9,7
289,12,152,18,78,7
290,12,152,4,104,7
291,13,153,1,121,7
292,13,153,18,58,7
293,13,153,7,7,7
294,14,154,17,17,7
295,14,154,18,58,7
296,14,154,15,15,7
297,15,155,13,13,7
298,15,155,16,36,7
299,15,155,16,16,7
300,16,156,12,32,7
301,17,157,0,80,7
302,17,157,13,13,7
303,18,158,14,134,7
304,18,158,17,17,7
305,18,158,2,42,7
306,19,159,12,72,7
307,19,159,3,3,7
308,19,159,14,14,7
309,0,160,15,15,8
310,1,161,13,13,8
311,2,162,18,78,8
312,2,162,6,86,8
313,3,163,14,114,8
314,3,163,6,106,8
315,3,163,19,39,8
316,4,164,19,79,8
317,4,164,12,12,8
318,5,165,8,8,8
319,6,166,10,10,8
320,6,166,3,83,8
321,7,167,9,49,8
322,8,168,3,3,8
323,8,168,7,47,8
324,8,168,19,59,8
325,9,169,19,19,8
326,10,170,18,18,8
327,11,171,16,16,8
328,11,171,9,9,8
329,12,172,5,145,8
330,12,172,0,20,8
331,12,172,9,9,8
332,13,173,5,45,8
333,14,174,4,124,8
334,14,174,7,27,8
335,15,175,7,147,8
336,16,176,17,17,8
337,17,177,12,12,8
338,18,178,11,71,8
339,18,178,9,9,8
340,18,178,0,40,8
341,19,179,13,13,8
342,0,180,9,149,9
343,0,180,13,13,9
344,0,180,15,135,9
345,1,181,17,97,9
346,1,181,12,12,9
347,2,182,19,39,9
348,2,182,3,23,9
349,3,183,16,36,9
350,4,184,10,170,9
351,4,184,8,148,9
352,4,184,10,90,9
353,5,185,15,15,9
354,6,186,1,21,9
355,7,187,17,17,9
356,7,187,16,16,9
357,8,188,18,98,9
358,9,189,9,109,9
359,9,189,18,38,9
360,10,190,17,137,9
361,11,191,5,65,9
362,11,191,1,141,9
363,12,192,14,34,9
364,12,192,19,19,9
365,12,192,16,36,9
366,13,193,13,93,9
367,13,193,10,130,9
368,13,193,14,174,9
369,14,194,6,6,9
370,14,194,18,38,9
371,14,194,9,9,9
372,15,195,19,119,9
373,16,196,13,13,9
374,16,196,19,39,9
375,17,197,18,138,9
376,17,197,2,2,9
377,18,198,4,124,9
378,19,199,4,124,9
379,0,200,15,15,10
380,1,201,7,7,10
381,2,202,8,28,10
382,3,203,9,9,10
383,3,203,5,45,10
384,3,203,0,120,10
385,4,204,17,77,10
386,5,205,9,129,10
387,6,206,11,111,10
388,7,207,19,19,10
389,7,207,16,16,10
390,8,208,15,175,10
391,8,208,13,13,10
392,9,209,3,83,10
393,9,209,13,13,10
394,10,210,8,8,10
395,10,210,4,124,10
396,10,210,3,3,10
397,11,211,3,3,10
398,12,212,2,2,10
399,12,212,19,39,10
400,13,213,13,13,10
401,13,213,18,18,10
402,13,213,11,71,10
403,14,214,8,148,10
404,15,215,0,160,10
405,15,215,14,34,10
406,16,216,5,45,10
407,16,216,5,65,10
408,16,216,13,73,10
409,17,217,19,19,10
410,17,217,16,16,10
411,18,218,16,16,10
412,19,219,8,8,10
413,19,219,15,15,10
414,19,219,3,3,10
415,0,220,13,53,11
416,1,221,0,0,11
417,1,221,19,159,11
418,1,221,19,219,11
419,2,222,8,28,11
420,3,223,17,77,11
421,3,223,7,7,11
422,3,223,18,18,11
423,4,224,5,65,11
424,5,225,13,73,11
425,6,226,18,138,11
426,6,226,13,13,11
427,7,227,16,36,11
428,8,228,0,0,11
429,9,229,9,9,11
430,9,229,7,147,11
431,9,229,11,71,11
432,10,230,15,15,11
433,10,230,12,132,11
434,11,231,19,59,11
435,11,231,0,0,11
436,11,231,8,8,11
437,12,232,14,34,11
438,12,232,2,2,11
439,12,232,17,17,11
440,13,233,9,9,11
441,14,234,0,20,11
442,14,234,17,97,11
443,15,235,0,0,11
444,16,236,10,30,11
445,17,237,18,18,11
446,17,237,19,19,11
447,17,237,2,42,11
448,18,238,12,12,11
449,18,238,8,148,11
450,18,238,9,9,11
451,19,239,15,15,11
452,19,239,5,45,11
453,0,240,13,233,12
454,0,240,6,206,12
455,1,241,2,202,12
456,2,242,18,78,12
457,2,242,17,97,12
458,3,243,8,28,12
459,3,243,16,196,12
460,4,244,4,124,12
461,5,245,15,15,12
462,5,245,4,24,12
463,6,246,12,52,12
464,7,247,0,20,12
465,7,247,8,8,12
466,8,248,8,8,12
467,8,248,9,169,12
468,9,249,5,5,12
469,9,249,0,60,12
470,9,249,3,203,12
471,10,250,15,15,12
472,11,251,7,127,12
473,11,251,16,56,12
474,11,251,5,45,12
475,12,252,13,13,12
476,12,252,16,16,12
477,12,252,3,3,12
478,13,253,17,77,12
479,13,253,9,9,12
480,13,253,8,68,12
481,14,254,0,20,12
482,14,254,4,124,12
483,14,254,0,120,12
484,15,255,18,118,12
485,15,255,15,15,12
486,15,255,18,38,12
487,16,256,18,58,12
488,16,256,8,8,12
489,16,256,0,140,12
490,17,257,5,165,12
491,17,257,8,8,12
492,18,258,8,28,12
493,19,259,15,55,12
494,0,260,16,56,13
495,1,261,3,203,13
496,1,261,18,18,13
497,2,262,7,7,13
498,3,263,19,19,13
499,3,263,9,129,13
500,3,263,0,120,13
501,4,264,18,238,13
502,4,264,2,202,13
503,5,265,2,62,13
504,6,266,16,16,13
505,7,267,10,10,13
506,7,267,18,38,13
507,8,268,10,10,13
508,8,268,16,16,13
509,9,269,17,197,13
510,9,269,8,8,13
511,9,269,15,15,13
512,10,270,10,30,13
513,10,270,19,59,13
514,11,271,9,9,13
515,12,272,2,2,13
516,13,273,18,58,13
517,13,273,15,15,13
518,14,274,0,120,13
519,14,274,8,8,13
520,14,274,11,131,13
521,15,275,19,199,13
522,15,275,5,125,13
523,15,275,17,77,13
524,16,276,19,99,13
525,16,276,9,9,13
526,17,277,15,55,13
527,17,277,16,256,13
528,18,278,19,59,13
529,18,278,3,3,13
530,19,279,13,13,13
531,19,279,18,38,13
532,19,279,17,157,13
533,0,280,7,7,14
534,0,280,18,118,14
535,1,281,18,98,14
536,1,281,17,97,14
537,1,281,10,170,14
538,2,282,4,124,14
539,3,283,0,0,14
540,3,283,15,235,14
541,4,284,15,15,14
542,5,285,13,213,14
543,6,286,1,241,14
544,6,286,0,120,14
545,7,287,9,269,14
546,7,287,3,3,14
547,7,287,19,39,14
548,8,288,14,214,14
549,8,288,8,148,14
550,8,288,16,76,14
551,9,289,9,209,14
552,10,290,0,0,14
553,11,291,16,16,14
554,11,291,2,182,14
555,12,292,17,157,14
556,12,292,2,62,14
557,13,293,15,15,14
558,13,293,7,7,14
559,14,294,16,156,14
560,14,294,13,73,14
561,14,294,10,130,14
562,15,295,12,12,14
563,15,295,7,47,14
564,16,296,17,77,14
565,17,297,8,8,14
566,17,297,10,10,14
567,18,298,18,58,14
568,18,298,2,122,14
569,19,299,8,28,14
570,19,299,3,143,14
571,19,299,9,69,14
572,0,300,8,8,15
573,1,301,7,7,15
574,2,302,0,0,15
575,2,302,9,9,15
576,2,302,8,8,15
577,3,303,16,16,15
578,4,304,5,5,15
579,4,304,15,175,15
580,5,305,3,183,15
581,5,305,8,128,15
582,5,305,18,38,15
583,6,306,12,172,15
584,6,306,4,124,15
585,6,306,10,10,15
586,7,307,9,9,15
587,7,307,17,77,15
588,7,307,0,0,15
589,8,308,16,16,15
590,9,309,9,29,15
591,9,309,2,62,15
592,9,309,16,16,15
593,10,310,14,34,15
594,11,311,16,16,15
595,11,311,6,26,15
596,11,311,8,8,15
597,12,312,18,258,15
598,13,313,16,36,15
599,13,313,10,10,15
600,13,313,16,56,15
601,14,314,3,3,15
602,14,314,19,219,15
603,14,314,15,15,15
604,15,315,19,119,15
605,15,315,15,15,15
606,16,316,4,184,15
607,16,316,14,154,15
608,16,316,10,90,15
609,17,317,9,229,15
610,17,317,16,36,15
611,17,317,13,253,15
612,18,318,17,197,15
613,18,318,13,13,15
614,19,319,13,53,15
615,0,320,7,147,16
616,0,320,17,17,16
617,1,321,1,21,16
618,1,321,16,16,16
619,2,322,7,307,16
620,2,322,11,211,16
621,3,323,2,62,16
622,3,323,16,296,16
623,3,323,8,8,16
624,4,324,11,11,16
625,5,325,15,315,16
626,5,325,2,62,16
627,5,325,13,13,16
628,6,326,9,209,16
629,7,327,0,100,16
630,8,328,4,184,16
631,9,329,18,18,16
632,9,329,8,8,16
633,10,330,13,13,16
634,10,330,3,183,16
635,11,331,16,16,16
636,11,331,10,170,16
637,12,332,8,8,16
638,13,333,8,148,16
639,13,333,0,20,16
640,13,333,7,7,16
641,14,334,2,2,16
642,14,334,19,19,16
643,15,335,17,17,16
644,16,336,14,14,16
645,16,336,13,13,16
646,17,337,10,190,16
647,17,337,6,46,16
648,17,337,18,98,16
649,18,338,0,0,16
650,18,338,7,7,16
651,19,339,10,10,16
652,19,339,16,76,16
653,19,339,13,73,16
654,0,340,0,60,17
655,0,340,15,135,17
656,0,340,14,34,17
657,1,341,6,206,17
658,1,341,7,107,17
659,1,341,5,5,17
660,2,342,19,39,17
661,2,342,9,9,17
662,3,343,2,2,17
663,3,343,9,9,17
664,4,344,19,199,17
665,4,344,11,31,17
666,5,345,12,172,17
667,6,346,15,15,17
668,6,346,1,61,17
669,6,346,13,133,17
670,7,347,4,24,17
671,8,348,3,3,17
672,9,349,18,318,17
673,9,349,6,86,17
674,9,349,13,53,17
675,10,350,4,124,17
676,11,351,5,45,17
677,12,352,19,59,17
678,12,352,9,129,17
679,13,353,13,13,17
680,13,353,9,9,17
681,14,354,10,330,17
682,14,354,5,45,17
683,14,354,1,61,17
684,15,355,14,34,17
685,15,355,13,13,17
686,16,356,0,220,17
687,17,357,0,20,17
688,17,357,0,0,17
689,17,357,18,18,17
690,18,358,16,16,17
691,18,358,9,29,17
692,18,358,17,77,17
693,19,359,16,16,17
694,19,359,6,106,17
695,19,359,18,18,17
696,0,360,5,245,18
697,0,360,0,0,18
698,1,361,12,232,18
699,1,361,3,343,18
700,1,361,18,278,18
701,2,362,7,27,18
702,2,362,2,202,18
703,3,363,5,245,18
704,3,363,3,3,18
705,3,363,13,13,18
706,4,364,10,30,18
707,4,364,12,12,18
708,5,365,9,49,18
709,6,366,13,13,18
710,7,367,12,232,18
711,7,367,18,118,18
712,8,368,7,7,18
713,9,369,13,133,18
714,9,369,10,30,18
715,10,370,10,50,18
716,11,371,15,35,18
717,11,371,8,8,18
718,12,372,18,118,18
719,13,373,18,58,18
720,13,373,18,18,18
721,14,374,6,206,18
722,14,374,15,15,18
723,15,375,16,36,18
724,15,375,9,69,18
725,15,375,0,0,18
726,16,376,18,318,18
727,16,376,11,71,18
728,16,376,8,8,18
729,17,377,17,97,18
730,17,377,8,148,18
731,17,377,8,28,18
732,18,378,0,0,18
733,18,378,12,12,18
734,18,378,6,326,18
735,19,379,17,137,18
736,19,379,17,17,18
737,19,379,19,59,18
738,0,380,10,190,19
739,0,380,4,264,19
740,0,380,15,15,19
741,1,381,6,246,19
742,1,381,13,13,19
743,2,382,5,5,19
744,2,382,18,78,19
745,2,382,15,215,19
746,3,383,9,9,19
747,3,383,2,62,19
748,4,384,18,78,19
749,4,384,9,129,19
750,4,384,2,202,19
751,5,385,3,263,19
752,5,385,11,71,19
753,5,385,0,0,19
754,6,386,17,97,19
755,7,387,19,19,19
756,8,388,18,318,19
757,8,388,2,182,19
758,9,389,0,120,19
759,9,389,10,10,19
760,10,390,7,227,19
761,11,391,9,9,19
762,11,391,13,13,19
763,12,392,7,267,19
764,12,392,10,10,19
765,12,392,16,56,19
766,13,393,13,13,19
767,14,394,3,43,19
768,14,394,17,97,19
769,15,395,6,26,19
770,15,395,12,212,19
771,16,396,9,9,19
772,16,396,13,13,19
773,17,397,9,329,19
774,17,397,7,107,19
775,17,397,7,247,19
776,18,398,0,20,19
777,18,398,16,16,19
778,18,398,8,8,19
779,19,399,0,0,19
780,19,399,15,15,19
781,19,399,17,377,19
782,0,400,17,157,20
783,0,400,17,77,20
784,0,400,16,16,20
785,1,401,15,15,20
786,1,401,2,242,20
787,1,401,1,241,20
788,2,402,7,107,20
789,2,402,15,375,20
790,3,403,0,0,20
791,3,403,7,267,20
792,3,403,19,319,20
793,4,404,15,15,20
794,5,405,13,13,20
795,6,406,8,8,20
796,6,406,10,390,20
797,7,407,13,293,20
798,7,407,10,30,20
799,8,408,6,66,20
800,9,409,14,134,20
801,9,409,13,13,20
802,10,410,18,58,20
803,10,410,0,20,20
804,11,411,10,170,20
805,11,411,7,247,20
806,11,411,3,3,20
807,12,412,14,14,20
808,12,412,18,398,20
809,13,413,8,328,20
810,13,413,8,8,20
811,13,413,10,10,20
812,14,414,8,8,20
813,14,414,18,258,20
814,15,415,13,53,20
815,15,415,15,15,20
816,15,415,9,9,20
817,16,416,9,9,20
818,16,416,16,36,20
819,17,417,15,15,20
820,17,417,15,215,20
821,17,417,2,242,20
822,18,418,17,17,20
823,18,418,15,15,20
824,19,419,7,227,20
825,19,419,16,156,20
826,19,419,14,214,20
827,0,420,13,113,21
828,0,420,5,45,21
829,0,420,10,230,21
830,1,421,0,400,21
831,1,421,3,363,21
832,2,422,17,137,21
833,2,422,9,9,21
834,3,423,2,322,21
835,4,424,9,269,21
836,4,424,9,9,21
837,4,424,9,249,21
838,5,425,12,392,21
839,5,425,0,0,21
840,5,425,16,16,21
841,6,426,1,81,21
842,6,426,13,173,21
843,6,426,3,323,21
844,7,427,11,11,21
845,7,427,15,15,21
846,8,428,7,147,21
847,8,428,9,229,21
848,8,428,15,15,21
849,9,429,6,86,21
850,10,430,5,245,21
851,10,430,19,39,21
852,10,430,6,6,21
853,11,431,11,271,21
854,12,432,18,18,21
855,12,432,13,133,21
856,13,433,2,382,21
857,13,433,10,10,21
858,14,434,12,72,21
859,15,435,8,148,21
860,15,435,14,14,21
861,16,436,7,7,21
862,16,436,14,14,21
863,16,436,18,78,21
864,17,437,0,200,21
865,17,437,19,19,21
866,17,437,18,118,21
867,18,438,12,12,21
868,18,438,12,132,21
869,18,438,2,382,21
870,19,439,2,62,21
871,19,439,4,384,21
